"id","name","host_id","host_name","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
2384,"Hyde Park - Walk to UChicago",2613,"Rebecca","Hyde Park",41.7879,-87.5878,"Private room",86,3,234,"2024-03-12",2.09,1,309,23,"R17000015609"
10945,"The Biddle House (#1)",33004,"At Home Inn","Lincoln Park",41.91196,-87.63981,"Entire home/apt",114,4,83,"2024-03-06",0.69,6,162,23,"2209984"
12140,"Lincoln Park Guest House",46734,"Shay And Robert","Lincoln Park",41.92357,-87.64947,"Private room",329,2,15,"2023-05-21",0.14,1,165,2,"R20000055258"
24833,"Prime LincolnPark 1 Block Fullerton Express L Deck",101521,"Red","Lincoln Park",41.925961,-87.656364,"Entire home/apt",57,32,40,"2023-04-22",0.24,4,239,1,"City registration pending"
25879,"2/1 One  Block to Fullerton L Red Line Deck & Yard",101521,"Red","Lincoln Park",41.92499,-87.65573,"Entire home/apt",95,32,49,"2023-09-30",0.29,4,285,1,"City registration pending"
28749,"Quirky Bucktown Loft w/ Parking NO PARTIES",27506,"Lauri","Logan Square",41.92137,-87.67933,"Entire home/apt",160,2,197,"2024-01-16",1.22,1,70,28,"R24000113825"
71930,"Rest, Relax and Explore",334241,"Michael And Veronica","West Town",41.89615,-87.67934,"Private room",76,3,110,"2024-02-17",0.7,1,223,10,"R17000013986"
94450,"Comfy Garden Suite in Andersonville",504470,"Mark","Edgewater",41.9796,-87.66512,"Entire home/apt",110,3,22,"2024-01-14",1.08,1,154,15,"R22000082956"
145659,"Trendy Roscoe Village 3BR/2BR walk to shops",683529,"Joe","North Center",41.94342,-87.68121,"Entire home/apt",222,32,76,"2023-11-26",0.74,23,349,16,"2209272"
145690,"4BR/2BR Walk to North Ave Beach & Zoo~Close to El",683529,"Joe","Lincoln Park",41.91289,-87.63864,"Entire home/apt",334,32,86,"2022-08-11",0.8,23,350,0,"2083778"
207218,"Historic Pullman Artist Flat - Monthly Rental",1019125,"Jb","Pullman",41.68843,-87.60712,"Entire home/apt",100,32,318,"2024-01-15",2.08,3,294,19,"R21000073121"
207351,"Pullman Art Studio - One Person - Monthly Rental",1019125,"Jb","Pullman",41.68954,-87.60786,"Entire home/apt",50,32,46,"2023-08-08",0.3,3,178,1,"R21000073121"
220333,"Pullman School House Apartment - monthly rental",1019125,"Jb","Pullman",41.68912,-87.60725,"Entire home/apt",100,32,4,"2023-07-08",0.03,3,314,2,""
225314,"Cozy & comfy with AC close to California Blue Line",1173654,"Jillian","Logan Square",41.92589,-87.69737,"Private room",91,2,26,"2023-10-09",0.18,1,168,5,"R20000054219"
233933,"Lovely Bedroom 3 in a New Renovated Apartment",1224828,"Tippi","Irving Park",41.95758,-87.7271,"Private room",60,2,169,"2024-03-17",1.11,2,220,15,"R22000094076"
258253,"Studio Apartment Unit 4",1358243,"June","West Ridge",42.0076,-87.6825,"Entire home/apt",48,33,30,"2023-08-25",0.2,2,155,1,"398144   Chicago:   R190000050938"
264547,"Steps From the Best Chicago Offers",1387948,"Dominic","Near West Side",41.88413,-87.64315,"Entire home/apt",191,32,63,"2021-10-17",0.44,1,363,0,"City registration pending"
289689,"29 Day+ Med student, interns & interim stays.",1376077,"Killian","Edgewater",41.97806,-87.65676,"Private room",32,30,68,"2024-03-02",0.46,1,180,2,"R21000062931"
345075,"Spacious, Vintage Hyde Park Apt.3 COVID VAX PLS",1746524,"Patricia","Kenwood",41.80774,-87.59459,"Private room",115,2,283,"2023-11-26",1.94,1,287,17,"R22000076583"
372929,"Lux Urban 3BR/3BA Duplex + Parking!",1876597,"The Adventurers","West Town",41.89629,-87.65704,"Entire home/apt",222,2,290,"2024-03-17",2.1,2,306,15,"2510875"
404792,"Eclectic West Town 2BR w/ Vintage Charm",1844352,"Christine","West Town",41.88947,-87.66933,"Entire home/apt",126,21,218,"2023-11-30",1.53,1,39,10,"R23000098892"
507517,"Private Lincoln Square Garden Apt",2501182,"Nate","Lincoln Square",41.96678,-87.6973,"Entire home/apt",101,2,400,"2024-01-01",2.81,1,112,30,"R23000111667"
542067,"Logan Square Modern Vintage Garden",2273840,"Sarah","Logan Square",41.93142,-87.69989,"Entire home/apt",125,32,303,"2023-10-19",2.12,1,171,20,"R17000015045"
584590,"Spacious Bedroom, steps to El train",2880338,"Elizabeth","Lincoln Square",41.96528,-87.6831,"Private room",50,32,52,"2023-09-08",0.37,2,180,1,"R17000015627"
634310,"The Stained Glass Apt. Edgewater #1",2915265,"Felice","Edgewater",41.99688,-87.66449,"Private room",70,3,121,"2024-03-17",0.86,2,347,10,"R22000091618"
640841,"Designer Lakeview Haven. Private Rooftop Oasis!",3200044,"James","Lake View",41.94256,-87.67171,"Entire home/apt",226,4,92,"2024-03-17",1.31,1,16,16,"R21000061279"
662034,"Edgebrook bdr by golf course",2824576,"Jeff","Forest Glen",41.99405,-87.75746,"Private room",70,32,91,"2023-10-08",0.71,1,364,6,"R23000095494"
681842,"Bedrm/Bath - Swanky Northside Condo",3472696,"Roxane","West Ridge",41.99373,-87.68279,"Private room",63,32,28,"2021-09-07",0.21,2,311,0,"R21000061018"
697634,"2 BD Condo by downtown,park,lake",3574415,"Marv","Near North Side",41.90437,-87.6335,"Entire home/apt",97,32,159,"2023-11-18",1.22,2,275,2,"City registration pending"
739495,"Lovely 2 bedroom in Lincoln Square",3867687,"Janet","Lincoln Square",41.9765,-87.68144,"Entire home/apt",150,32,215,"2023-10-10",1.65,1,90,12,"R17000020094"
755701,"3 Bedroom Victorian Beauty at Logan Square",3920450,"Vas","Logan Square",41.93115,-87.71836,"Entire home/apt",80,32,27,"2024-01-07",0.21,4,193,3,"City registration pending"
863120,"Cozy Private Room in a unique Chicago Penthouse",4525503,"Nejla And Enki","Lincoln Park",41.92218,-87.66079,"Private room",85,2,153,"2024-03-17",1.18,1,26,20,"R21000072699"
887038,"MCM Prime LincolnPark 2 Bed 1 Block to Fullerton L",101521,"Red","Lincoln Park",41.92546,-87.6573,"Entire home/apt",60,32,43,"2023-08-13",0.33,4,172,6,"City registration pending"
903996,"Private Entrance/Steam Room Ensuite",4019426,"Colleen","Logan Square",41.92708,-87.71212,"Private room",110,32,144,"2020-02-16",1.1,1,55,0,"R17000015433"
931105,"Modern Guest Bedroom Room in Designers House",5015135,"Samantha","East Garfield Park",41.88538,-87.69801,"Private room",136,32,22,"2018-11-02",0.17,1,362,0,"R17000015264"
960326,"The Penthouse Gallery at OHC - No Cleaning Fee!",5228189,"Matthew","West Town",41.89602,-87.65659,"Entire home/apt",220,2,426,"2024-02-25",3.24,21,336,48,"2457501"
966137,"!!BIG PRIVATE HOUSE!!close2bus,Great reviews!!",5016495,"Erika","Near West Side",41.86801,-87.67877,"Entire home/apt",133,32,41,"2023-09-01",0.31,1,87,1,"city registration pending"
979841,"Huge Victorian near Loyola, Lake #1",5076708,"Lois And Eduardo","Rogers Park",42.00588,-87.66853,"Private room",89,2,314,"2024-03-17",2.36,4,341,38,"R17000015436"
979926,"Huge Victorian near Loyola, Lake #2",5076708,"Lois And Eduardo","Rogers Park",42.00477,-87.66842,"Private room",79,2,345,"2024-03-03",2.61,4,326,42,"R17000015436"
979942,"Huge Victorian near Loyola, Lake #3",5076708,"Lois And Eduardo","Rogers Park",42.00378,-87.66807,"Private room",79,2,312,"2024-03-17",2.34,4,347,27,"R17000015436"
983640,"Huge Victorian near Loyola 2bd Apt",5076708,"Lois And Eduardo","Rogers Park",42.00456,-87.67058,"Entire home/apt",179,2,263,"2023-11-25",2,4,292,30,"R17000015436"
1020810,"Beautiful Condo in Chicago",3843347,"Andrea","Near North Side",41.89395,-87.62593,"Entire home/apt",85,32,38,"2023-07-15",0.28,3,113,3,"City registration pending"
1185749,"3 Bedroom Vintage Hideaway In Little Italy/uic",1664593,"Matt And Christy","Near West Side",41.87033,-87.6826,"Entire home/apt",167,3,365,"2024-02-22",2.77,1,45,23,"R23000099312"
1195259,"Wicker Park - Garden At The Heart of It All",2899484,"Jason","West Town",41.90914,-87.67859,"Entire home/apt",138,32,212,"2023-10-10",1.61,2,217,7,"R19000037818"
1242709,"Beautiful/Large SE Evanston Apt",1254363,"Mark","Rogers Park",42.01938,-87.67985,"Entire home/apt",149,7,16,"2022-10-15",0.15,1,365,0,""
1304049,"Private room near UIC Medical Dist.",7089017,"Sharon","Near West Side",41.86967,-87.68284,"Private room",103,32,123,"2023-10-09",0.96,1,365,5,"R17000015307"
1321332,"Lincoln Park Single Family Home",946954,"Jeff","Lincoln Park",41.93089,-87.66946,"Entire home/apt",278,2,113,"2023-10-26",0.89,1,282,4,"2262746"
1356190,"Logan Square Vintage Deluxe Private Suite & Bath",3069675,"Gabrielle","Logan Square",41.91984,-87.68962,"Private room",94,3,431,"2024-03-16",3.37,1,233,40,"R23000111151"
1361421,"Wrigley Hostel - Queen Bed Room",7391164,"Wrigley Hostel","Lake View",41.9459,-87.65461,"Private room",120,32,40,"2021-05-23",0.33,2,206,0,"R20000058693"
1392594,"Bright open house, garden & deck",7528098,"Eileen","Uptown",41.96909,-87.67407,"Entire home/apt",175,4,30,"2023-10-14",0.23,1,123,3,"R22000079042"
1461451,"02b. Twin bed in Coed Space",2907254,"Joseph","West Ridge",42.01653,-87.68788,"Shared room",17,1,190,"2024-02-13",1.47,12,171,11,"R21000075752"
1502674,"The Biddle House (#2)",33004,"At Home Inn","Lincoln Park",41.91175,-87.63834,"Entire home/apt",165,4,118,"2024-03-18",0.92,6,150,33,"2209985"
1502700,"The Biddle House",33004,"At Home Inn","Lincoln Park",41.91184,-87.63963,"Entire home/apt",418,7,16,"2019-09-02",0.13,6,64,0,"2120298, 2120297"
1554433,"Charming Home in Chicago",6088938,"Eric","Beverly",41.71554,-87.67197,"Private room",49,32,199,"2023-10-09",1.55,2,229,2,"R17000013891"
1573401,"Spacious & serene in hip spot. Sleeps 4.",8186262,"April","Lower West Side",41.85592,-87.66249,"Private room",50,2,378,"2024-03-07",5.02,2,159,58,"R21000069179"
1584422,"Magic Factory Loft 2West",2810938,"Carole","Near North Side",41.90532,-87.64761,"Entire home/apt",380,3,46,"2023-11-05",0.36,3,323,13,"2555923"
1591370,"Cozy Northside Apt near trains & free St. parking",8489460,"Holly + Mark","Rogers Park",42.01177,-87.67758,"Entire home/apt",120,2,190,"2024-01-05",1.48,1,283,20,"R22000090320"
1614802,"Contemporary, private suite w fireplace",8595700,"Carin","Lake View",41.93455,-87.66141,"Entire home/apt",69,4,355,"2024-03-19",2.93,1,228,27,"R23000105186"
1620098,"Bedroom + apartment in Lincoln Park",8619275,"Leszek","Lincoln Park",41.92817,-87.64282,"Private room",150,1,69,"2024-03-17",0.54,1,89,11,"R22000079040"
1648786,"Quiet Rooms2 in Quiet Neighborhood",1426804,"Afri","Chatham",41.72706,-87.61164,"Private room",55,2,104,"2022-08-01",0.81,1,81,0,"R17000013914"
1663673,"iKlektik House Chicago / Cardinal",8813383,"Mindy + Tony","West Town",41.89322,-87.68572,"Entire home/apt",100,2,399,"2024-03-12",3.22,3,161,38,"R22000090635"
1759266,"Lakeview / Lincoln Park Vintage",9249272,"Mark","Lake View",41.93396,-87.65897,"Entire home/apt",181,2,80,"2023-12-27",0.67,1,272,18,"2209110"
1759389,"Casa Corazón (W) near Rush / UIC",1559157,"Amanda","Lower West Side",41.84801,-87.68127,"Private room",82,2,151,"2024-02-15",1.19,3,204,10,"R20000054162"
