"fecha_vigencia","precio","provincia","localidad","direccion"
2024-02-01,839,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-02-01,839,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-04-01,944,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-04-01,944,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-05-01,982,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-05-01,982,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-06-01,1022,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-06-01,1022,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-07-01,1053,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-07-01,1053,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-03-02,902,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-03-02,902,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-01-03 09:00:00,788,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-01-03 09:00:00,788,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2023-12-08 13:00:00,456,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2023-12-08 13:00:00,456,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2023-12-13 22:00:00,625,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2023-12-13 22:00:00,625,"SAN LUIS","VILLA MERCEDES","25 DE MAYO 675"
2024-02-01,638,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
2024-02-01,638,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
2024-04-01,718,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
2024-04-01,718,"CHUBUT","COMODORO RIVADAVIA","HIPOLITO YRIGOYEN 396"
